Tarih,AKP,CHP,IYI,HDP,MHP,DEVA,GP,SP,MP,TIP,ZP,YRP
20-09-2021,29.9,25.7,15.3,11.7,9.4,2.7,1.9,1.1,
24-09-2021,33.2,23.7,14.1,10.9,9.4,4.4,,1.1,
26-09-2021,31.7,25.8,14.3,11.0,10,2.6,1.7,,
27-09-2021,33.8,23.8,14.6,7.9,7.7,2.8,2.8,1.3,0.9,,,0.9
27-09-2021,39,24,9.9,9.1,10.9,0.8
29-09-2021,31,24.5,16.3,9.3,7,4.2,2.4,0.9,0.9,,,
30-09-2021,28.2,27.3,13.9,10.3,7.1,5.3,2.5,1.2,1,,,
04-10-2021,32.3,30.9,12.1,11.3,7.8,1.8,1.1,0.8,
05-10-2021,31.9,25.9,13.1,8.1,9.4,4.7,2.9,,
06-10-2021,32.7,24.8,19.3,11.7,8.9,
07-10-2021,30.8,28.2,13.8,10,8.6,2.9,1.1,0.6,
14-10-2021,28.9,28.7,13.5,10.6,6.6,5.5,2.7,1.3,
15-10-2021,32.7,24.3,16.4,12.5,7.4,2.6,1.7,1.1,
17-10-2021,32.6,25.2,14.3,11.8,7.4,2.7,,1.7,1.6,,,
20-10-2021,31.7,25.8,14.3,11,10,2.6,1.7,,
21-10-2021,32,23.5,14.7,9,8,2.7,2.6,1.4,1,,,
22-10-2021,38.5,25.3,12.1,9.2,9.9,1.7,1.1,,
27-10-2021,32.4,27.9,13.8,8.3,8.4,2.8,1.4,1.4,0.5,,,1.6
27-10-2021,31.3,26,14.1,8,9.8,5.1,2.4,1.1,
28-10-2021,28.6,28.5,13.2,10,7,5.7,3,1.3,0.5,,,
01-11-2021,30.1,26.9,15.4,11.3,7.2,3.7,1.9,1.4,
03-11-2021,31.8,30.3,13.1,10.6,6.4,1.2,0.7,0.8,1.1
04-11-2021,34.7,27.7,12.7,8.7,8.8,3.1,,,
06-11-2021,29.9,26.6,16.7,12.7,7.5,2.4,1.2,1.1,
12-11-2021,32.6,25.2,14.3,11.8,7.4,2.7,,1.7,1.6,,,
13-11-2021,30.6,26.6,12.4,11.5,8.7,6,,1.3,
17-11-2021,28.4,30.1,11.9,10.3,7.3,5.9,2.6,1.2,0.5,,,
18-11-2021,37.6,25.1,10.7,9.1,9.3,
18-11-2021,31.4,24.5,14.9,9.6,8,2.6,2.6,1.4,0.8,,,0.9
24-11-2021,30.9,25.7,15.5,8.4,9.1,3.7,2.5,1.3,
24-11-2021,37.5,25.3,10.2,10.1,10,1.3,,,
30-11-2021,30,28.2,14,10,9.1,4.4,,,
03-12-2021,27.6,30.4,12.9,11,6.5,6,2.6,1.3,
04-12-2021,30.6,32.2,13.3,9.8,6.5,1.9,0.4,1.1,0.5,,,
07-12-2021,34.6,28.2,12,11.1,9.3,1.6,0.9,,
09-12-2021,34.3,22.6,14.9,12.8,6.6,2.9,,1.5,2,,,
09-12-2021,30.3,25.5,15.9,8.1,8.8,3.3,3,1.4,1,,,0.5
11-12-2021,30.8,28.9,13.8,9.8,8.4,2.5,1.1,1.2,
13-12-2021,35.9,23.1,12.7,10.4,8.6,1.8,1.1,0.9,1.5,,,
15-12-2021,32.3,27.4,14.2,11.9,5.3,2.6,1.1,1.5,1.6,,,
15-12-2021,28.4,29.4,12.6,11,6.8,5.8,2.4,1.4,
20-12-2021,30.5,27.2,15.8,10,9,4,,,
27-12-2021,32.7,23.3,14.7,9.1,7.4,3.3,2.8,1.4,0.7,,,0.7
27-12-2021,30.8,25.1,15.5,8.3,8.6,3,3.2,1.5,1.2,,,
27-12-2021,29,28.1,12.5,11.5,6.8,6.1,2,1.6,
02-01-2022,32.8,27.8,12.5,11.5,7.6,3.5,2.5,0.8,
07-01-2022,32.3,31.5,12.6,9.2,6.1,1.9,0.3,1.2,1.7
08-01-2022,30.2,24.2,15.3,8.4,8.5,2.9,3.1,1.6,1.3,,,0.8
12-01-2022,35.1,28.2,13,11.1,5.8,2.5,,,
13-01-2022,32.5,25.7,15.2,9.6,8.5,2.7,1.6,1.1,0.5,0.7,,
14-01-2022,30.6,28.6,11.3,11,5.8,5.6,1.5,1.1,0.9,0.9,,
16-01-2022,38.2,26.4,12,11.8,7.6,
17-01-2022,31.9,24.4,15.1,9.3,7.2,3.4,2.6,1.3,0.5,,,0.7
18-01-2022,30.5,27.9,15.5,11,7,2.5,1,1.5,
19-01-2022,32.9,23.1,11.6,12.2,6.8,3.1,2.6,1.9,1.9,,2.4,
22-01-2022,29.7,24.3,14.2,8.4,9.1,2.8,3.6,1.7,1.2,0.2,,1.1
25-01-2022,30.1,28.9,13.6,10.6,7.9,2.7,1.3,1,
25-01-2022,31.5,26.2,13.9,10.8,8.1,3.6,1.9,1.3,1,,,0.3
29-01-2022,32,27.1,15.4,10.2,8.2,3.3,,,
31-01-2022,31.3,27.2,12.1,11.5,8.1,2.1,1.4,1.2,1.3,0.2,1.1,1
31-01-2022,26.3,28.4,12.4,12.9,6,5.9,1.8,1.7,1.1,0.9,,
02-02-2022,31.2,26.8,14.2,13.5,7.1,3.9,1.7,1.6,
07-02-2022,33.0,28.4,13.3,12.6,8.4,2.1,0.8,0.5,
10-02-2022,32.9,31.8,12.8,9.7,4.8,2.3,0.7,0.7,0.6,,,1.5
13-02-2022,30,24.1,15.1,8.1,9.4,2.6,4.2,1.5,1,,,0.9
16-02-2022,36.5,26.7,10.9,9.7,10.2,1.3,0.5,0.7,0.8,,,0.7
17-02-2022,32.8,26.3,11.1,12.1,8.9,3.2,,1.5,
17-02-2022,32.9,26.7,13,12.6,6.4,3.1,,2.4,1.1,,,0.9
18-02-2022,30.2,25.1,13.8,8.7,8.5,3.4,4,1.6,0.8,,,0.7
18-02-2022,30.4,25.5,14.8,9.1,7.2,3.4,2.6,1.3,0.4,,,0.7
21-02-2022,30.4,28.1,13.8,10.4,7.7,3.8,2,1.4,0.8,0.3,,0.2
25-02-2022,33.1,28,14.2,10.6,8.1,3,,0.8,
28-02-2022,29.8,27.2,14.1,13.4,6.8,4.2,1.9,1.6,
28-02-2022,30.4,28.2,11.3,10.1,9.2,2.2,1.4,0.8,1.2,0.4,1.2,1
01-03-2022,28.1,28.4,13,12.6,5.5,5.4,1.9,1.6,0.6,0.9,,
03-03-2022,30.3,28.8,13.7,10.6,8.2,2.8,1,1,
06-03-2022,32,30.3,12.9,9.8,6.9,2.8,0.4,1,0.4,1,,1
07-03-2022,32.7,25.7,11.2,11.8,9.3,2.9,1.4,1.5,0.9,,,
08-03-2022,30.9,25.9,13.4,11.2,9.2,
15-03-2022,28.7,24.2,16.1,8.4,8.1,3.6,4.1,1.6,0.9
15-03-2022,28.1,23.8,16.8,8.9,8.7,3,3.5,1.6,0.8,,,0.9
17-03-2022,29.8,28.4,13.6,9.9,8.6,2.9,1,1,
22-03-2022,30.1,28.3,13.9,10.1,7.6,3.9,2.1,1.5,0.7,0.4,,
22-03-2022,31.9,25.9,15.2,11.6,7.8,2.7,1.2,1.6,
23-03-2022,31.1,27.3,16,10.3,8.3,3.1,1,1,
23-03-2022,30.4,26.2,14.8,8.8,7.1,3.4,2.8,1.3,0.4,,,0.7
24-03-2022,38.7,25.1,11,9.7,10.5,1.1,0.6,1.1,0.5,,,
29-03-2022,30.8,31.5,12.6,10.1,5.7,3.5,0.8,0.8,0.7,0.8,0.8,0.9
02-04-2022,34.3,24.1,16.1,13,4.9,2.2,0.7,1.4,1.2
03-04-2022,28.4,23.2,17,9.1,8.2,2.7,3.2,1.5,1,,,1.2
03-04-2022,31.2,28.6,14.5,10,7.8,2.6,0.5,0.7,,1.3,,1.8
04-04-2022,34,24.5,10.3,11.9,9,2.3,,1.6,,1.1,1.5,
04-04-2022,29.5,27.4,14.2,13.2,6.7,4.3,2.1,1.6,
09-04-2022,33.4,30.2,12.4,11.2,7.1,3.8,1.4,0.6,
10-04-2022,32.4,26.2,12.8,10.6,7.4,1.8,0.5,0.7,,1.2,,1.5
11-04-2022,38.1,23.2,11.6,10.9,10.3,1.7,,0.7,1,,,0.7
15-04-2022,29.5,27.1,16.7,11.4,7.1,3,1.5,0.9,0.4,,,1.1
16-04-2022,32.3,25.9,16.8,11.6,6.7,1.7,0.5,1.2,,0.5,,
19-04-2022,30.4,28.9,13.3,10.4,7.3,2.7,1.4,1.1,
20-04-2022,29.3,27.1,15.1,8.4,7.1,3.2,2.8,1.3,
22-04-2022,28.1,24.3,17.3,8.5,7.8,2.1,2.3,1.6,0.9,,0.8,1.3
25-04-2022,30,27,16,10.5,8.1,2.2,0.5,0.7,0.3,1.2,0.4,0.6
28-04-2022,36.9,25.1,11.8,9.4,10.1,0.9,0.2,1,0.7,,1.1,1.3
30-04-2022,29.7,27.2,14.2,12.6,6.2,4.6,2.3,1.8,0.4,,0.3,0.7
02-05-2022,36.2,26.6,10.6,10.2,10.1,1.1,0.6,0.8,0.6,,0.5,0.6
03-05-2022,32.1,22.4,18.6,12.3,7.3,2,0.6,1.4,,,0.6,1.3
06-05-2022,29.5,30.5,12.6,9.9,5.7,4.7,1.9,0.9,,,2.2,
06-05-2022,29.2,25,16.1,9.1,7.4,2.1,2,1.7,1.1,,0.7,
08-05-2022,28.0,24.1,18.4,8.7,7.2,2,2.1,1.6,1.1,,,1.4
09-05-2022,34.3,23.3,10.9,11.8,8.2,1.8,,1.2,,1.1,3.0,
10-05-2022,28.7,27.3,18.5,10.9,6.6,2.7,1.7,1,0.5,,0.8,1
12-05-2022,32.5,24.4,15,8.6,7.2,2,,,1.6,,,1.6
14-05-2022,28.3,27.1,16.1,7.8,6.6,3.1,2.8,1.1,0.4,,1.8,0.9
15-05-2022,35.9,26.2,10.7,10.1,10.4,1.1,0.4,0.8,0.5,,1.1,0.9
15-05-2022,28.7,24.7,21.7,12.2,7.5,
17-05-2022,31.2,29.4,12.3,10.3,7.4,1.9,,1,,1,2.4,
17-05-2022,28.5,24.3,19,8.1,7.1,2.3,2.1,1.6,1,,,1.2
18-05-2022,30,27.2,19.2,10,5.6,1.3,0.8,4.7,
20-05-2022,32.7,22.6,15.1,13.8,8,1.3,,1.6,0.8,0.6,1.8,1
23-05-2022,31.9,26.8,12.2,12.8,7.7,2.8,1.4,0.7,
23-05-2022,29.4,27.3,14.6,12.3,6.3,4.8,2.4,1.7,0.3,,0.4,0.5
27-05-2022,29.3,28,16.3,11.1,8,3.4,1,1,,,1.2,
29-05-2022,35.4,26.7,11.2,11.2,8.8,2.1,1.2,,
30-05-2022,30.1,28.8,13.2,9.7,8.3,2.2,0.7,1.4,
31-05-2022,29.3,27.9,15.3,10,6.8,2.0,0.6,0.1,,,4.1,1.9
01-06-2022,29.5,30.7,13.0,9.2,5.4,4.8,1.8,1.1,,,1.6,1.1
04-06-2022,29.8,29.5,13.2,10.3,6.9,2.3,0.2,1.0,,0.8,1.8,2.3
05-06-2022,27.7,23.8,20.6,7.5,7.1,1.9,2.1,1.7,1.1,,,0.8
07-06-2022,30.4,24.8,15.5,11.2,7.8,3.1,,2.4,
08-06-2022,27.2,25.1,19.4,8.3,6.8,2.4,2.0,1.7,1.3
12-06-2022,30,28.7,15.7,13.8,4.8,4.5,1.1,1.4,
13-06-2022,29.7,26.1,17.2,9.8,7.0,2.1,1.1,1.2,,0.9,1.5,1.1
15-06-2022,32.8,23.6,16.6,12.5,5.3,1.6,0.8,1.7,0.7,,2.2,0.7
18-06-2022,29.4,28.9,13.7,10.2,8.0,2.6,0.6,1.3,,
19-06-2022,29.0,23.8,11.4,11.6,8.6,6.9,4,1.6,
21-06-2022,29.1,30.2,14.2,9.6,6.1,3.6,1.7,1.6,,,1.6,
24-06-2022,32.3,23.1,19,7.5,7.1,1.7,,,1.4,,1.3,1.1
28-06-2022,36,26,10.3,10,10,1.6,0.4,0.8,0.6,,1.9,0.9
28-06-2022,27.1,27.7,16,10.4,8.2,2,0.4,0.9,,1,2.8,2.1
30-06-2022,36.3,24.2,12.5,10.6,10.2,0.9,0.1,0.4,0.3,,2.8,1
01-07-2022,28.4,29.9,13.4,10.7,6.1,5.3,1.2,1.5,,,1.3,
02-07-2022,27.8,29.6,11,11.2,7.3,3.8,3,,
06-07-2022,29.1,28.2,14.9,12.4,5.9,4.6,2.1,1.6,0.3,,0.5,0.4
04-07-2022,27.1,24.0,22.1,7.6,7.0,2.2,2.0,1.3,
07-07-2022,28.4,27.2,16.4,8.5,6.6,2.3,2.0,1.7,,,1.3,0.9
09-07-2022,35.3,25.4,13.1,10.3,4.1,0.9,0.5,0.5,1.6,,7.2,
15-07-2022,27.8,25.7,18.4,7.8,6.3,2.9,2.9,0.9,0.2,,2.0,1.1
